example_id,method,translation,reference,chrf_score
2,structured,[ERROR: deadlock detected by _ModuleLock('openai.resources.chat') at 4457086896],"Temaik+ wixárika ká uyeiwet+ yu kemarite ránakat+t+, yu xupureru k+ tsiuri naime rá naka pit+ yu temawiet+ yu kie ye at+ yu iwama wa hé ts+a.",0.0
1,structured,[ERROR: deadlock detected by _ModuleLock('openai.resources.chat') at 4457086896],Wakaitsixi wa+ kawa me má tsunawawe wá hetsié titiyá xit+ximekaku me uxipiet+.,0.0
0,structured,[ERROR: deadlock detected by _ModuleLock('openai.resources.chat') at 4457086896],"Ta kie muye háne ik+ pan+ w+ ta húyetá, kiekari yak+ m+ yeyeut+ tsie metá há me wayeneikak+ te m+ ka hé hauweni k+.",0.0
3,structured,[ERROR: deadlock detected by _ModuleLock('openai.resources.chat') at 4457086896],"Te+teri ya me yu pa+ met+ me yu xe+riet+, me te tá uximayá take rí meri papaya tsie.",0.0
4,structured,uká mie wixárika mie,Wixarika yu kié hé yáka wapait+ uyemiet+ há apá kaku.,8.884972772389164
0,translator-agentic,"[The image] 'eni [a long suspension bridge] [over] há apá. [The bridge] 'eni [made of wood] [or] [a similar material] [and] 'iya [two sides] [of] [a landscape] [that is lush with greenery]. [On one side], [there are] [several small houses] [or] [structures] [among] [the trees]. [The river below] 'eni [calm], [and] [the surrounding area] 'eni [a mix of vegetation] [and] [rocky terrain]. [The perspective] 'eni [suggests] [that the photo is taken from a height], [possibly from] [a nearby cliff] [or] [elevated area].","Ta kie muye háne ik+ pan+ w+ ta húyetá, kiekari yak+ m+ yeyeut+ tsie metá há me wayeneikak+ te m+ ka hé hauweni k+.",8.141466064022014
0,translator-pipeline,[image] háne 'i-[show]. Háne [plank] me-[be]. Háne [side] me-[connect]. [side] kixi me-me-[have]. Há apá [landscape] 'i-[be].,"Ta kie muye háne ik+ pan+ w+ ta húyetá, kiekari yak+ m+ yeyeut+ tsie metá há me wayeneikak+ te m+ ka hé hauweni k+.",9.057491023905747
4,translator-agentic,"[image] háne há apá -k+ kieri, tete -k+ tsapa, tutú -k+ neixa. me-uká 'i-mie-t+ háne; ne-ikata temawiet+ 'i-ikata-t+ k+u, pe-uká kemarite -k+ xupureru. háne -k+ metal, 'i-ikata-t+ netting -k+ tsie. kieri -k+ kieri, kieri -k+ tutú -k+ háne. há -k+ mecéri, 'i-ikata-t+ k+u -k+ háne.",Wixarika yu kié hé yáka wapait+ uyemiet+ há apá kaku.,15.870829575551637
2,translator-pipeline,[image] teví 'i-[show]. Teví kat+-t+. Teví [outfit] 'i-[wear]-t+. [background] [appear].,"Temaik+ wixárika ká uyeiwet+ yu kemarite ránakat+t+, yu xupureru k+ tsiuri naime rá naka pit+ yu temawiet+ yu kie ye at+ yu iwama wa hé ts+a.",7.342715256691812
5,structured,[beans] [green pods] me-me-[be] [beans] [dried pods] me-me-[be],"Ikwai tá kie m+ti xuáwe hik+ witarita, metá tsepá ke ane ikwaiya.",4.855652898221299
